check,value,target,absolute_deviation,status
fold_1_patient_ratio,20.00%,20.00%,0.00%,pass
fold_1_slice_ratio,19.98%,20.00%,0.02%,pass
fold_1_class_0_ratio,20.15%,20.00%,0.15%,pass
fold_1_class_1_ratio,19.90%,20.00%,0.10%,pass
fold_1_class_2_ratio,19.90%,20.00%,0.10%,pass
fold_1_patients_le_2_slices_ratio,20.00%,20.00%,0.00%,pass
fold_2_patient_ratio,20.00%,20.00%,0.00%,pass
fold_2_slice_ratio,20.07%,20.00%,0.07%,pass
fold_2_class_0_ratio,20.15%,20.00%,0.15%,pass
fold_2_class_1_ratio,19.90%,20.00%,0.10%,pass
fold_2_class_2_ratio,20.15%,20.00%,0.15%,pass
fold_2_patients_le_2_slices_ratio,20.00%,20.00%,0.00%,pass
fold_3_patient_ratio,20.00%,20.00%,0.00%,pass
fold_3_slice_ratio,19.98%,20.00%,0.02%,pass
fold_3_class_0_ratio,19.90%,20.00%,0.10%,pass
fold_3_class_1_ratio,20.15%,20.00%,0.15%,pass
fold_3_class_2_ratio,19.90%,20.00%,0.10%,pass
fold_3_patients_le_2_slices_ratio,20.00%,20.00%,0.00%,pass
fold_4_patient_ratio,20.00%,20.00%,0.00%,pass
fold_4_slice_ratio,19.98%,20.00%,0.02%,pass
fold_4_class_0_ratio,19.90%,20.00%,0.10%,pass
fold_4_class_1_ratio,20.15%,20.00%,0.15%,pass
fold_4_class_2_ratio,19.90%,20.00%,0.10%,pass
fold_4_patients_le_2_slices_ratio,20.00%,20.00%,0.00%,pass
fold_5_patient_ratio,20.00%,20.00%,0.00%,pass
fold_5_slice_ratio,19.98%,20.00%,0.02%,pass
fold_5_class_0_ratio,19.90%,20.00%,0.10%,pass
fold_5_class_1_ratio,19.90%,20.00%,0.10%,pass
fold_5_class_2_ratio,20.15%,20.00%,0.15%,pass
fold_5_patients_le_2_slices_ratio,20.00%,20.00%,0.00%,pass
patient_validation_fold_uniqueness,0,0,0,pass
physical_files,"missing=0, extra=0","missing=0, extra=0",0,pass
